	numbers
мне	1
я	2
не	3
заблокировать	4
здравствуйте	5
как	6
на	7
регион	8
номер	9
можно	10
кодовое	11
почему	12
звонок	13
слово	14
деньги	15
добрый	16
сим	17
хочу	18
с	19
домашний	20
карту	21
заказать	22
что	23
ли	24
моего	25
обратный	26
день	27
без	28
меня	29
поменять	30
смс	31
могу	32
у	33
в	34
вернуть	35
за	36
узнать	37
пожалуйста	38
симкарту	39
номера	40
а	41
и	42
сменить	43
подключили	44
мой	45
прошу	46
верните	47
требую	48
бы	49
согласия	50
приходят	51
возврат	52
платную	53
делать	54
средств	55
изменить	56
симку	57
необходимо	58
вы	59
ведома	60
услугу	61
приходит	62
если	63
нужно	64
по	65
это	66
сделать	67
телефон	68
нет	69
пользуюсь	70
есть	71
другой	72
рублей	73
заявку	74
подскажите	75
мои	76
услуги	77
возврата	78
от	79
этот	80
забыл	81
тариф	82
денег	83
вечер	84
чтобы	85
телефона	86
email	87
так	88
вас	89
платные	90
вопрос	91
sms	92
позвонить	93
позвоните	94
которые	95
sim	96
хотела	97
заблокируйте	98
его	99
украли	100
возможно	101
кто	102
номере	103
эту	104
при	105
надо	106
самостоятельно	107
их	108
средства	109
но	110
забыла	111
помню	112
или	113
сняли	114
опцию	115
счет	116
опции	117
специалист	118
номером	119
помогите	120
свой	121
карты	122
вам	123
денежных	124
подключил	125
счёт	126
баланс	127
то	128
сохранением	129
оператора	130
хотел	131
ничего	132
подключал	133
тот	134
где	135
случайно	136
уже	137
подключена	138
подключены	139
перезвони	140
все	141
здраствуйте	142
мою	143
можете	144
ей	145
больше	146
для	147
помочь	148
второй	149
подписку	150
подключала	151
списанные	152
руб	153
когда	154
вернут	155
ошибся	156
денежные	157
просьба	158
тарифа	159
связаться	160
виртуальный	161
виртуальным	162
поддержки	163
услуга	164
скажите	165
такое	166
слова	167
перезвоните	168
свою	169
ее	170
связи	171
причине	172
пользоваться	173
им	174
чтоб	175
через	176
списание	177
обратно	178
сколько	179
какой	180
говорю	181
положил	182
ответить	183
помощником	184
ответил	185
подключают	186
подключаются	187
приходило	188
личном	189
кабинете	190
возможность	191
меняя	192
свое	193
необходим	194
наберите	195
картой	196
из	197
отключить	198
заблокирован	199
нужен	200
потерян	201
были	202
хотелось	203
подписки	204
нужны	205
размере	206
счета	207
интернет	208
пополнила	209
составьте	210
был	211
составить	212
положила	213
своего	214
там	215
смог	216
зачем	217
специалиста	218
да	219
абонентской	220
платой	221
было	222
ко	223
ки	224
региона	225
city	226
симкарте	227
минут	228
тарифный	229
план	230
помошник	231
своё	232
сами	233
позвони	234
перезвонить	235
доброе	236
утро	237
она	238
карта	239
нужна	240
сегодняшнего	241
дня	242
буду	243
этого	244
которыми	245
спасибо	246
мое	247
одну	248
просил	249
личный	250
кабинет	251
давала	252
который	253
вами	254
вернули	255
требуется	256
проверить	257
незаконно	258
со	259
очень	260
списали	261
р	262
назад	263
ошиблась	264
пополнил	265
проверьте	266
была	267
о	268
сделайте	269
вчера	270
ошибочно	271
живой	272
может	273
помощник	274
ещё	275
раз	276
ответит	277
к	278
платная	279
сегодня	280
несколько	281
посуточное	282
чем	283
сообщения	284
проблема	285
сейчас	286
стоит	287
переездом	288
область	289
оставить	290
поскольку	291
моём	292
вопросе	293
работника	294
тех	295
какое	296
позвонили	297
позвонят	298
вот	299
этим	300
заблокирована	301
просто	302
эта	303
потери	304
этой	305
время	306
блокировать	307
утерян	308
сын	309
потерял	310
срочно	311
которым	312
онлайн	313
имя	314
них	315
насовсем	316
данный	317
до	318
он	319
восстановить	320
которую	321
рубля	322
минуты	323
мобильную	324
подключение	325
украденные	326
уточнить	327
числа	328
крадете	329
сама	330
отключила	331
они	332
нужный	333
цифру	334
пополнили	335
перевести	336
цифрой	337
заявке	338
составляли	339
данном	340
другого	341
вопросу	342
подключать	343
тогда	344
нельзя	345
человек	346
человека	347
оператор	348
специалисты	349
дайте	350
свяжите	351
поддержкой	352
службой	353
будет	354
подключается	355
платных	356
услуг	357
тарифу	358
смене	359
поменяли	360
смены	361
опция	362
оплату	363
звонил	364
приходили	365
ваш	366
еще	367
тарифе	368
приходя	369
совсем	370
чём	371
т	372
корректно	373
разговора	374
моем	375
своей	376
обслуживания	377
регистрации	378
переехал	379
переехала	380
пользования	381
₽	382
этом	383
привязки	384
дозвониться	385
обратного	386
звонка	387
службы	388
быть	389
давно	390
кодового	391
знаю	392
помним	393
писать	394
понял	395
набери	396
набрать	397
перезвонили	398
скажу	399
симки	400
блокируй	401
заблокируй	402
симкартой	403
всегда	404
решил	405
день！	406
потерей	407
утери	408
текущий	409
зовут	410
пользуешься	411
того	412
ею	413
получается	414
номеру	415
данную	416
поможете	417
моё	418
зарегистрировано	419
зарегистрированный	420
тел	421
две	422
потерянные	423
личного	424
кабинета	425
заблокировали	426
попросить	427
абонентский	428
сына	429
вместе	430
утеряны	431
либо	432
заблокированную	433
симкарта	434
утеряна	435
желаю	436
второго	437
вернёт	438
заказывал	439
вернете	440
платёж	441
оформлял	442
автопродление	443
переход	444
дополнительные	445
нечего	446
некорректное	447
согласие	448
насчет	449
повторно	450
денги	451
использованную	452
сумма	453
услугой	454
пользовался	455
зависли	456
навязанную	457
баланса	458
крадут	459
подключился	460
снимайте	461
минуте	462
пополнение	463
пополнения	464
всё	465
же	466
разобраться	467
свои	468
потому	469
возвращение	470
также	471
пользовалась	472
моих	473
хотят	474
подключила	475
пополняла	476
ошиблись	477
одной	478
цифре	479
пополнял	480
перепутал	481
цифры	482
местами	483
пополняя	484
составлена	485
заявка	486
возврате	487
составляйте	488
ней	489
изменение	490
денежный	491
давайте	492
составим	493
неправильно	494
возвращения	495
ожидаю	496
моим	497
обращением	498
возврату	499
присылаете	500
хорошему	501
возвращайте	502
положенные	503
сентябрь	504
мб	505
нечаянно	506
абонента	507
живую	508
роботом	509
общаться	510
реальный	511
человеком	512
поговорить	513
связью	514
